node3.mpisws.vicci.org 141.39.220.13 
node31.mpisws.vicci.org 141.39.220.41 
node24.gt.vicci.org 130.207.98.33 
node20.gt.vicci.org 130.207.98.29 
node32.gt.vicci.org 130.207.98.41 
node38.princeton.vicci.org 128.112.171.94 
node26.stanford.vicci.org 171.67.92.164 
node23.mpisws.vicci.org 141.39.220.33 
node30.gt.vicci.org 130.207.98.39 
node37.princeton.vicci.org 128.112.171.92 
node36.princeton.vicci.org 128.112.171.90 
node23.stanford.vicci.org 171.67.92.161 
node22.gt.vicci.org 130.207.98.31 
node39.princeton.vicci.org 128.112.171.96 
node20.mpisws.vicci.org 141.39.220.30 
node43.princeton.vicci.org 128.112.171.104 
node24.mpisws.vicci.org 141.39.220.34 
node42.princeton.vicci.org 128.112.171.102 
node17.washington.vicci.org 128.95.1.122 
node21.mpisws.vicci.org 141.39.220.31 
node31.gt.vicci.org 130.207.98.40 
node37.gt.vicci.org 130.207.98.46 
node30.stanford.vicci.org 171.67.92.168 
node40.princeton.vicci.org 128.112.171.98 
node29.gt.vicci.org 130.207.98.38 
node22.stanford.vicci.org 171.67.92.160 
node7.washington.vicci.org 128.95.1.112 
node24.stanford.vicci.org 171.67.92.162 
node45.princeton.vicci.org 128.112.171.108 
node15.washington.vicci.org 128.95.1.120 
node14.washington.vicci.org 128.95.1.119 
node25.stanford.vicci.org 171.67.92.163 
node28.mpisws.vicci.org 141.39.220.38 
node16.washington.vicci.org 128.95.1.121 
node29.stanford.vicci.org 171.67.92.167 
node21.stanford.vicci.org 171.67.92.159 
node30.mpisws.vicci.org 141.39.220.40 
